Alcohol,Alcalinity_of_ash,Magnesium,Flavanoids,Color_intensity,Proline
12.7,23.0,101,2.55,2.57,463
12.0,19.0,86,2.26,2.5,278
12.72,18.8,86,2.53,3.9,714
12.08,24.0,78,1.58,2.2,630
13.05,22.5,85,1.59,4.8,515
11.84,18.0,94,2.21,3.05,520
12.67,18.0,99,1.94,2.62,450
12.16,22.8,90,1.69,2.45,495
11.65,26.0,88,1.61,2.6,562
11.64,21.6,84,1.69,2.8,680
12.08,23.6,70,1.59,1.74,625
12.08,18.5,81,1.5,2.4,480
12.0,22.0,86,1.25,3.6,450
12.69,20.7,80,1.46,3.05,495
12.29,18.0,88,2.25,2.15,290
11.62,18.0,98,2.26,3.25,345
12.47,19.0,162,2.27,2.6,937
11.81,21.5,134,0.99,2.5,625
12.29,16.0,85,2.5,2.9,428
12.37,18.5,88,3.75,4.5,660
12.29,18.0,88,2.99,2.3,406
12.08,17.5,97,2.17,3.3,710
12.6,18.5,88,1.36,2.45,562
12.34,21.0,98,2.11,2.8,438
11.82,19.5,86,1.64,2.06,415
12.51,20.5,85,1.92,2.94,672
12.42,22.0,90,1.84,2.7,315
12.25,19.0,80,2.03,3.4,510
12.72,22.5,84,1.76,3.3,488
12.22,19.0,92,2.04,2.7,312
11.61,20.0,94,2.92,2.65,680
11.46,19.5,107,2.58,2.9,562
12.52,21.0,88,2.27,2.0,325
11.76,20.0,103,2.03,3.8,607
11.41,21.0,88,2.01,3.08,434
12.08,22.5,84,2.29,2.9,385
11.03,21.5,85,2.17,1.9,407
11.82,20.8,86,1.6,1.95,495
12.42,22.5,108,2.09,2.06,345
12.77,16.0,80,1.25,3.4,372
12.0,19.0,87,1.64,1.28,564
11.45,20.0,96,2.79,3.25,625
11.56,28.5,119,5.08,6.0,465
12.42,26.5,102,2.13,2.08,365
13.05,21.5,86,2.65,2.6,380
11.87,21.0,82,3.03,2.8,380
12.07,21.0,85,2.65,2.76,378
12.43,21.5,86,3.15,3.94,352
11.79,28.5,92,2.24,3.0,466
12.37,24.5,88,2.45,2.12,342
12.04,22.0,80,1.75,2.6,580
12.86,18.0,122,1.25,4.1,630
12.88,20.0,104,1.22,5.4,530
12.81,24.0,98,1.09,5.7,560
12.7,21.5,106,1.2,5.0,600
12.51,17.5,85,0.58,5.45,650
12.6,18.5,94,0.66,7.1,695
12.25,21.0,89,0.47,3.85,720
12.53,25.0,96,0.6,5.0,515
13.49,19.5,88,0.48,5.7,580
12.84,24.0,101,0.6,4.92,590
12.93,21.0,96,0.5,4.6,600
13.36,20.0,89,0.5,5.6,780
13.52,23.5,97,0.52,4.35,520
13.62,20.0,92,0.8,4.4,550
12.25,18.5,112,0.78,8.21,855
13.16,21.0,102,0.55,4.0,830
13.88,20.0,80,0.34,4.9,415
12.87,21.5,86,0.65,7.65,625
13.32,21.5,92,0.76,8.42,650
13.08,21.5,113,1.39,9.4,550
13.5,24.0,123,1.57,8.6,500
12.79,22.0,112,1.36,10.8,480
13.11,25.5,116,1.28,7.1,425
13.23,18.5,98,0.83,10.52,675
12.58,20.0,103,0.58,7.6,640
13.17,22.0,93,0.63,7.9,725
13.84,19.5,89,0.83,9.01,480
12.45,27.0,97,0.58,7.5,880
14.34,25.0,98,1.31,13.0,660
13.48,22.5,89,1.1,11.75,620
12.36,21.0,88,0.92,7.65,520
13.69,20.0,107,0.56,5.88,680
12.85,22.0,106,0.6,5.58,570
12.96,18.5,106,0.7,5.28,675
13.78,22.0,90,0.68,9.58,615
13.73,22.5,88,0.47,6.62,520
13.45,23.0,111,0.92,10.68,695
12.82,19.5,88,0.66,10.26,685
13.58,24.5,105,0.84,8.66,750
13.4,25.0,112,0.96,8.5,630
12.2,19.0,96,0.49,5.5,510
12.77,19.5,86,0.51,9.899999,470
14.16,20.0,91,0.7,9.7,660
13.71,20.5,95,0.61,7.7,740
13.4,23.0,102,0.75,7.3,750
13.27,20.0,120,0.69,10.2,835
13.17,20.0,120,0.68,9.3,840
14.13,24.5,96,0.76,9.2,560
